id,name,lat,lng,baseline,city
wetherspoons-court-leet,Wetherspoons (Court Leet),53.56807,-2.885286,6,Ormskirk
styles-bar,Styles Bar,53.568418,-2.885864,5,Ormskirk
alpine-club-lodge,Alpine Club Lodge,53.568039,-2.883166,5,Ormskirk
lime-tyger,Lime Tyger,53.565594,-2.883446,5,Ormskirk
edge-hill-su,Edge Hill Student Union,53.56020,-2.87287,7,Ormskirk
cricketers-liverpool,The Cricketers,53.56555,-2.88360,5,Ormskirk
spiritz-bar,Spiritz,53.56861,-2.88468,5,Ormskirk
number-twelve-bar,Number Twelve Bar,53.56778,-2.88641,5,Ormskirk
murphys-irish-bar,Murphy's Irish Bar,53.56692,-2.88621,5,Ormskirk
queens-head,Queens Head,53.56695,-2.88448,5,Ormskirk
nordico-lounge,Nordico Lounge,53.56700,-2.88485,5,Ormskirk
the-green-room,The Green Room,53.56710,-2.88416,5,Ormskirk
the-golden-lion,The Golden Lion,53.56706,-2.88391,5,Ormskirk
tap-room,Tap Room,53.56776,-2.88566,5,Ormskirk
liquid-bar,Liquid Bar,53.56672,-2.88342,5,Ormskirk
tiny-tavern,Tiny Tavern,53.56787,-2.88574,5,Ormskirk
blackpool-tower-area,Blackpool Tower Area,53.81550,-3.05370,6,Blackpool
popworld-blackpool,Popworld Blackpool,53.81610,-3.05430,6,Blackpool
revolution-blackpool,Revolution Blackpool,53.81650,-3.05510,6,Blackpool
tiki-bar-blackpool,Tiki Bar Blackpool,53.81720,-3.05440,5,Blackpool
walkabout-blackpool,Walkabout Blackpool,53.81630,-3.05490,6,Blackpool
cavern-club,Cavern Club,53.408371,-2.991573,8,Liverpool
concert-square,Concert Square,53.40390,-2.98450,9,Liverpool
heebie-jeebies,Heebie Jeebies,53.40320,-2.98530,7,Liverpool
level-liverpool,LEVEL Liverpool,53.40350,-2.98560,7,Liverpool
mccooleys-matthew-st,Mccooley’s Matthew Street,53.40900,-2.99180,7,Liverpool
mojo-liverpool,MOJO Liverpool,53.40460,-2.98620,7,Liverpool
soho-liverpool,Soho Liverpool,53.40480,-2.98590,7,Liverpool
the-merchant,The Merchant,53.40290,-2.98410,7,Liverpool
the-raz,The Raz,53.40420,-2.98690,7,Liverpool
albert-schloss,Albert's Schloss,53.48090,-2.24340,8,Manchester
crazy-pedros,Crazy Pedro’s,53.48320,-2.24230,7,Manchester
deansgate-locks,Deansgate Locks,53.47760,-2.24290,9,Manchester
factory-mcr,Factory Manchester,53.47790,-2.23560,8,Manchester
mojo-manchester,MOJO Manchester,53.48140,-2.24290,7,Manchester
night-and-day,Night & Day Cafe,53.48460,-2.23620,7,Manchester
the-printworks,Printworks Manchester,53.48300,-2.24000,8,Manchester
revs-de-cuba-mcr,Revolution De Cuba Manchester,53.48100,-2.24400,8,Manchester
blues-kitchen-mcr,The Blues Kitchen Manchester,53.48020,-2.24480,7,Manchester
yes-manchester,YES Manchester,53.48190,-2.23390,7,Manchester
preston-central,Preston Central,53.76320,-2.70460,5,Preston
switch-preston,Switch Preston,53.75940,-2.70210,6,Preston
the-ferret,The Ferret,53.76380,-2.70840,5,Preston
vinyl-tap-preston,Vinyl Tap,53.76350,-2.70710,5,Preston
warehouse-preston,Warehouse Preston,53.75990,-2.70320,6,Preston
