id,name,lat,lng,baseline,city,osm_id,osm_name,osm_lat,osm_lng,osm_distance_m,match_confidence
wetherspoons-court-leet,Wetherspoons (Court Leet),53.56807,-2.885286,6,Ormskirk,,,,,,
styles-bar,Styles Bar,53.568418,-2.885864,5,Ormskirk,,,,,,
alpine-club-lodge,Alpine Club Lodge,53.568039,-2.883166,5,Ormskirk,,,,,,
lime-tyger,Lime Tyger,53.565594,-2.883446,5,Ormskirk,,,,,,
edge-hill-su,Edge Hill Student Union,53.56020,-2.87287,7,Ormskirk,,,,,,
cricketers-liverpool,The Cricketers,53.56555,-2.88360,5,Ormskirk,,,,,,
spiritz-bar,Spiritz,53.56861,-2.88468,5,Ormskirk,,,,,,
number-twelve-bar,Number Twelve Bar,53.56778,-2.88641,5,Ormskirk,,,,,,
murphys-irish-bar,Murphy's Irish Bar,53.56692,-2.88621,5,Ormskirk,,,,,,
queens-head,Queens Head,53.56695,-2.88448,5,Ormskirk,,,,,,
nordico-lounge,Nordico Lounge,53.56700,-2.88485,5,Ormskirk,,,,,,
the-green-room,The Green Room,53.56710,-2.88416,5,Ormskirk,,,,,,
the-golden-lion,The Golden Lion,53.56706,-2.88391,5,Ormskirk,,,,,,
tap-room,Tap Room,53.56776,-2.88566,5,Ormskirk,,,,,,
liquid-bar,Liquid Bar,53.56672,-2.88342,5,Ormskirk,,,,,,
tiny-tavern,Tiny Tavern,53.56787,-2.88574,5,Ormskirk,,,,,,
blackpool-tower-area,Blackpool Tower Area,53.81550,-3.05370,6,Blackpool,way/1137814212,Tower Fisheries,53.8182519,-3.0498016,399,0.38
popworld-blackpool,Popworld Blackpool,53.81610,-3.05430,6,Blackpool,way/1276575342,Ballers Blackpool,53.8110772,-3.0505749,610,0.35
revolution-blackpool,Revolution Blackpool,53.81650,-3.05510,6,Blackpool,way/1276575342,Ballers Blackpool,53.8110772,-3.0505749,672,0.35
tiki-bar-blackpool,Tiki Bar Blackpool,53.81720,-3.05440,5,Blackpool,node/4502212007,Roberts Oyster Bar,53.81796,-3.055697,120,0.53
walkabout-blackpool,Walkabout Blackpool,53.81630,-3.05490,6,Blackpool,way/1134078930,Walkabout,53.8196083,-3.0545868,368,0.50
cavern-club,Cavern Club,53.408371,-2.991573,8,Liverpool,node/5612243075,Cavern Pub,53.406379,-2.9881653,316,0.50
concert-square,Concert Square,53.40390,-2.98450,9,Liverpool,way/1104403277,Caffè Nero,53.403928,-2.9845826,6,suggestion
heebie-jeebies,Heebie Jeebies,53.40320,-2.98530,7,Liverpool,way/1175740070,Heebie Jeebies,53.4015802,-2.978382,493,0.85
level-liverpool,LEVEL Liverpool,53.40350,-2.98560,7,Liverpool,node/101433399,The Liverpool,53.4049673,-2.9916084,430,0.50
mccooleys-matthew-st,Mccooley’s Matthew Street,53.40900,-2.99180,7,Liverpool,way/1133250985,McCooley's,53.406581,-2.9866842,433,0.50
mojo-liverpool,MOJO Liverpool,53.40460,-2.98620,7,Liverpool,node/101433399,The Liverpool,53.4049673,-2.9916084,361,0.50
soho-liverpool,Soho Liverpool,53.40480,-2.98590,7,Liverpool,node/101433399,The Liverpool,53.4049673,-2.9916084,379,0.50
the-merchant,The Merchant,53.40290,-2.98410,7,Liverpool,way/887649228,The Merchant,53.4020247,-2.9805607,254,0.85
the-raz,The Raz,53.40420,-2.98690,7,Liverpool,way/1060162573,The Welkin,53.4058709,-2.9860422,194,0.65
albert-schloss,Albert's Schloss,53.48090,-2.24340,8,Manchester,node/5502942029,Albert's Schloss,53.4781968,-2.24791,424,0.85
crazy-pedros,Crazy Pedro’s,53.48320,-2.24230,7,Manchester,node/4302638089,Crazy Pedro's,53.4812706,-2.2498322,543,0.70
deansgate-locks,Deansgate Locks,53.47760,-2.24290,9,Manchester,node/2886288857,The Deansgate,53.4750991,-2.2512277,617,0.35
factory-mcr,Factory Manchester,53.47790,-2.23560,8,Manchester,node/529051307,On Bar Manchester,53.4765556,-2.2377468,206,0.38
mojo-manchester,MOJO Manchester,53.48140,-2.24290,7,Manchester,node/1765136160,BrewDog Manchester,53.4781428,-2.2472464,462,0.50
night-and-day,Night & Day Cafe,53.48460,-2.23620,7,Manchester,node/3129220229,Night & Day,53.4827259,-2.2352062,219,0.62
the-printworks,Printworks Manchester,53.48300,-2.24000,8,Manchester,node/12092188430,Eat Italian Manchester,53.4799543,-2.2373414,382,0.38
revs-de-cuba-mcr,Revolution De Cuba Manchester,53.48100,-2.24400,8,Manchester,node/334648390,Revolución de Cuba,53.4783236,-2.2489523,443,0.50
blues-kitchen-mcr,The Blues Kitchen Manchester,53.48020,-2.24480,7,Manchester,node/13261369856,The Cut & Craft Manchester,53.4800825,-2.2405944,279,0.50
yes-manchester,YES Manchester,53.48190,-2.23390,7,Manchester,node/12092188430,Eat Italian Manchester,53.4799543,-2.2373414,314,0.38
preston-central,Preston Central,53.76320,-2.70460,5,Preston,way/81404517,Trinity Preston,53.7563482,-2.7030788,768,0.35
switch-preston,Switch Preston,53.75940,-2.70210,6,Preston,way/81404517,Trinity Preston,53.7563482,-2.7030788,345,0.50
the-ferret,The Ferret,53.76380,-2.70840,5,Preston,way/101318338,The Ferret,53.7639494,-2.7096514,84,1.00
vinyl-tap-preston,Vinyl Tap,53.76350,-2.70710,5,Preston,node/4720379832,Vinyl Tap,53.7634823,-2.7065484,36,1.00
warehouse-preston,Warehouse Preston,53.75990,-2.70320,6,Preston,way/81404517,Trinity Preston,53.7563482,-2.7030788,395,0.50
